0	3	1
0	7	1
0	17	1
0	20	1
0	21	1
1	2	1
1	4	1
1	14	1
1	15	1
1	18	1
1	22	1
1	23	1
2	1	1
2	4	1
2	6	1
2	8	1
2	14	1
2	15	1
2	22	1
2	23	1
3	7	1
3	13	1
3	17	1
3	19	1
3	20	1
3	21	1
4	1	1
4	9	1
4	14	1
4	15	1
4	23	1
5	7	1
5	8	1
5	9	1
5	11	1
5	17	1
5	21	1
6	1	1
6	2	1
6	4	1
6	14	1
6	15	1
6	18	1
6	22	1
7	0	1
7	3	1
7	5	1
7	11	1
7	12	1
7	17	1
7	20	1
7	21	1
8	0	1
8	2	1
8	4	1
8	5	1
8	7	1
8	14	1
8	15	1
8	18	1
8	20	1
8	22	1
8	23	1
9	5	1
9	10	1
9	11	1
9	12	1
9	16	1
9	19	1
10	1	1
10	4	1
10	5	1
10	7	1
10	9	1
10	11	1
10	12	1
10	15	1
10	16	1
10	17	1
10	18	1
10	19	1
10	21	1
10	22	1
10	23	1
11	1	1
11	4	1
11	5	1
11	7	1
11	9	1
11	16	1
11	19	1
11	21	1
12	4	1
12	9	1
12	15	1
12	16	1
12	19	1
12	23	1
13	0	1
13	11	1
13	16	1
13	17	1
13	19	1
13	21	1
14	1	1
14	2	1
14	23	1
15	1	1
15	2	1
15	4	1
15	6	1
15	8	1
15	14	1
15	18	1
15	23	1
16	9	1
16	10	1
16	11	1
16	12	1
16	17	1
16	19	1
17	0	1
17	3	1
17	7	1
17	13	1
17	19	1
17	20	1
18	1	1
18	2	1
18	4	1
18	14	1
18	15	1
18	22	1
19	0	1
19	3	1
19	5	1
19	9	1
19	11	1
19	13	1
19	16	1
19	21	1
20	0	1
20	2	1
20	3	1
20	7	1
20	8	1
20	12	1
20	17	1
20	19	1
20	21	1
21	0	1
21	5	1
21	7	1
21	11	1
22	6	1
22	8	1
22	18	1
23	1	1
23	4	1
23	14	1
23	15	1
