0	1
0	2
0	4
0	5
0	6
0	8
0	10
0	14
0	15
0	16
0	19
1	0
1	2
1	4
1	5
1	6
1	8
1	13
1	15
1	16
2	0
2	3
2	4
2	5
2	8
2	10
2	16
4	0
4	2
4	3
4	5
4	6
4	10
4	11
4	12
4	13
4	15
4	16
4	19
5	0
5	2
5	3
5	4
5	6
5	8
5	10
5	11
5	13
6	0
6	2
6	3
6	4
6	5
6	8
6	9
6	15
8	0
8	2
8	4
8	5
8	6
8	10
8	16
10	0
10	2
10	4
10	5
10	6
10	8
10	11
14	0
14	2
14	3
14	4
14	5
14	6
14	8
14	9
14	10
14	11
14	12
14	13
14	15
14	16
14	17
14	19
15	0
15	1
15	4
15	5
15	6
15	10
16	0
16	1
16	2
16	4
16	5
16	6
16	8
16	9
16	13
19	0
19	4
19	14
19	15
19	16
13	0
13	2
13	4
13	5
13	6
13	8
13	11
13	12
13	16
13	17
13	19
3	0
3	1
3	2
3	4
3	5
3	6
3	8
3	13
11	0
11	4
11	6
11	16
12	0
12	4
9	0
9	4
7	0
7	1
7	4
7	9
17	0
17	4
17	12
17	13
18	0
18	1
18	4
18	5
18	6
18	8
18	16
